lane,log10_acid_activity,log10_base_activity,auxiliary_0,auxiliary_1,maximum_normalized_violation
115,-2.879340648651123,-2.6793406009674072,1.4925964223918933e-38,-0.0,3.161013638317052e-08
116,-2.7925872802734375,-2.5925872325897217,0.0,-0.0,3.161013638317052e-08
117,-2.752264976501465,-2.552264928817749,0.0,-0.0,3.161013638317052e-08
118,-2.8291409015655518,-2.629140615463257,0.0,-0.0,2.0019753042674663e-07
119,-2.89872407913208,-2.698723793029785,1.549025870771175e-38,-1.2982558034386953e-38,2.0019753042674663e-07
120,-2.8137552738189697,-2.613754987716675,0.0,-1.6491758312373912e-38,2.0019753042674663e-07
121,-2.782637357711792,-2.582637310028076,0.0,-1.5758722270104028e-38,3.161013638317052e-08
122,-2.750009775161743,-2.5500094890594482,0.0,-0.0,2.0019753042674663e-07
123,-2.8719849586486816,-2.671984910964966,0.0,-1.7456428990796687e-38,3.161013638317052e-08
124,-2.6376633644104004,-2.4376633167266846,1.5104024417183759e-38,-1.2273352473801377e-38,3.161013638317052e-08
125,-2.953179121017456,-2.753178834915161,1.1807524430499735e-38,-1.5718821697630843e-38,2.0019753042674663e-07
126,-2.789271116256714,-2.589271068572998,0.0,-0.0,3.161013638317052e-08
127,-2.824435234069824,-2.6244351863861084,1.4247278943886351e-38,-0.0,3.161013638317052e-08
128,-2.838035821914673,-2.638035774230957,0.0,-0.0,3.161013638317052e-08
129,-2.692047119140625,-2.49204683303833,0.0,-0.0,2.0019753042674663e-07
130,-2.9181878566741943,-2.7181875705718994,1.4772687395294156e-38,-0.0,2.0019753042674663e-07
131,-2.770183563232422,-2.570183277130127,1.312412841564076e-38,-0.0,2.0019753042674663e-07
132,-2.722172498703003,-2.522172451019287,0.0,-0.0,3.161013638317052e-08
133,-2.675367832183838,-2.475367784500122,1.2749236234883013e-38,-1.3511793431900828e-38,3.161013638317052e-08
134,-2.791377544403076,-2.5913772583007812,0.0,-1.3218644595761005e-38,2.0019753042674663e-07
135,-2.762054443359375,-2.562054395675659,0.0,-1.3687025804864646e-38,3.161013638317052e-08
136,-2.6908090114593506,-2.4908087253570557,1.4324919286600732e-38,-0.0,2.0019753042674663e-07
137,-2.8326380252838135,-2.6326379776000977,1.3096759655334032e-38,-1.5554340086485325e-38,3.161013638317052e-08
138,-2.732506036758423,-2.532505989074707,1.3054265279403382e-38,-1.401771822946066e-38,3.161013638317052e-08
139,-2.675722360610962,-2.475722074508667,1.179425133144565e-38,-0.0,2.0019753042674663e-07
140,-2.6982643604278564,-2.4982643127441406,1.7024770209249142e-38,-0.0,3.161013638317052e-08
141,-2.7423338890075684,-2.5423336029052734,0.0,-0.0,2.0019753042674663e-07
