epoch,operator,name,field,previous,current
4,0,klein,u,0.5508000254631042,0.5518231391906738
4,0,klein,v,0.5,0.4993538558483124
4,0,klein,phase,0.0,-0.00039881773409433663
4,0,klein,gain,0.10000000149011612,0.10000769793987274
4,0,klein,shear,0.0,8.044181595323607e-05
4,0,klein,program,0x00000341,0x00000342
4,0,klein,seed,193911227,2338824570
4,1,hadamard,u,0.43512019515037537,0.43614262342453003
4,1,hadamard,v,0.559435248374939,0.5587904453277588
4,1,hadamard,phase,0.019999999552965164,0.01999625377357006
4,1,hadamard,gain,0.10000000149011612,0.09998840093612671
4,1,hadamard,shear,0.06754904240369797,0.06762948632240295
4,1,hadamard,seed,208979349,4239472451
4,2,phi,u,0.5099308490753174,0.5109547972679138
4,2,phi,v,0.3868425786495209,0.38619983196258545
4,2,phi,phase,0.03999999910593033,0.03959432989358902
4,2,phi,gain,0.10000000149011612,0.10001034289598465
4,2,phi,shear,-0.0996171087026596,-0.0995367020368576
4,2,phi,program,0x00000341,0x00000342
4,2,phi,seed,205170631,907524589
4,3,rk4,u,0.5817768573760986,0.5828014016151428
4,3,rk4,v,0.6066633462905884,0.6060214042663574
4,3,rk4,phase,0.05999999865889549,0.05960538983345032
4,3,rk4,gain,0.10000000149011612,0.0999893769621849
4,3,rk4,shear,0.07936004549264908,0.07944020628929138
4,3,rk4,program,0x00000341,0x00000342
4,3,rk4,seed,217612725,402486795
4,4,phyllotaxis,u,0.3499295115470886,0.3509548306465149
4,4,phyllotaxis,v,0.47345471382141113,0.4728115499019623
4,4,phyllotaxis,phase,0.07999999821186066,0.07960005104541779
4,4,phyllotaxis,gain,0.10000000149011612,0.10001123696565628
4,4,phyllotaxis,shear,-0.017418159171938896,-0.017338082194328308
4,4,phyllotaxis,program,0x00000341,0x00000342
4,4,phyllotaxis,seed,210199147,292233757
4,5,pinion,u,0.6421598196029663,0.6431863307952881
4,5,pinion,v,0.40956950187683105,0.4089243412017822
4,5,pinion,phase,0.09999999403953552,0.09919159859418869
4,5,pinion,gain,0.10000000149011612,0.09998246282339096
4,5,pinion,shear,-0.05367282032966614,-0.05359271913766861
4,5,pinion,seed,223169757,2560104221
4,6,double_dot,u,0.4524504840373993,0.45347702503204346
4,6,double_dot,v,0.6768825650215149,0.6762363910675049
4,6,double_dot,phase,0.11999999731779099,0.12000322341918945
4,6,double_dot,gain,0.10000000149011612,0.10001032799482346
4,6,double_dot,shear,0.09657153487205505,0.09665156155824661
4,6,double_dot,seed,218312335,1379834291
4,7,T_shape,u,0.4093174338340759,0.4103456735610962
4,7,T_shape,v,0.3253965973854065,0.3247513175010681
4,7,T_shape,phase,0.14000000059604645,0.1400080919265747
4,7,T_shape,gain,0.10000000149011612,0.099993996322155
4,7,T_shape,shear,-0.08874480426311493,-0.08866483718156815
4,7,T_shape,seed,230754557,1943295573
4,8,pyramid,u,0.6967446208000183,0.697772204875946
4,8,pyramid,v,0.5718506574630737,0.5712073445320129
4,8,pyramid,phase,0.1599999964237213,0.1595969796180725
4,8,pyramid,gain,0.10000000149011612,0.10000208765268326
4,8,pyramid,shear,0.03430379554629326,0.03438376635313034
4,8,pyramid,program,0x00000341,0x00000342
4,8,pyramid,seed,228583979,2115143887
4,9,circle,u,0.2953200936317444,0.2963498532772064
4,9,circle,v,0.5844890475273132,0.583846390247345
4,9,circle,phase,0.17999999225139618,0.18040823936462402
4,9,circle,gain,0.10000000149011612,0.09999525547027588
4,9,circle,shear,0.0381556935608387,0.03823663666844368
4,9,circle,program,0x00000341,0x00000342
4,9,circle,seed,239457557,2814560259
4,10,cone,u,0.598669171333313,0.5996976494789124
4,10,cone,v,0.2891494929790497,0.28850480914115906
4,10,cone,phase,0.19999998807907104,0.20040425658226013
4,10,cone,gain,0.10000000149011612,0.10000771284103394
4,10,cone,shear,-0.09057344496250153,-0.09049263596534729
4,10,cone,program,0x00000341,0x00000342
4,10,cone,seed,235648839,1835288237
4,11,sphere,u,0.5729141235351562,0.5739449858665466
4,11,sphere,v,0.7324615716934204,0.7318155169487
4,11,sphere,phase,0.2199999988079071,0.22040773928165436
4,11,sphere,gain,0.10000000149011612,0.099986232817173
4,11,sphere,shear,0.09541640430688858,0.09549712389707565
4,11,sphere,program,0x00000341,0x00000342
4,11,sphere,seed,248090933,1284409675
4,12,apex,u,0.2802358567714691,0.2812651991844177
4,12,apex,v,0.37264278531074524,0.37199708819389343
4,12,apex,phase,0.23999999463558197,0.24040226638317108
4,12,apex,gain,0.10000000149011612,0.10001242160797119
4,12,apex,shear,-0.050140585750341415,-0.050059862434864044
4,12,apex,program,0x00000341,0x00000342
4,12,apex,seed,259554428,1293090700
4,13,delta_phi,u,0.7578079700469971,0.7588396072387695
4,13,delta_phi,v,0.4433211386203766,0.44267740845680237
4,13,delta_phi,phase,0.25999999046325684,0.2604030668735504
4,13,delta_phi,gain,0.10000000149011612,0.09999103099107742
4,13,delta_phi,shear,-0.021472126245498657,-0.02139168791472912
4,13,delta_phi,program,0x00000341,0x00000342
4,13,delta_phi,seed,255745644,1678006584
4,14,blend,u,0.3426641523838043,0.3436940014362335
4,14,blend,v,0.7237948775291443,0.723152756690979
4,14,blend,phase,0.2800000011920929,0.280408650636673
4,14,blend,gain,0.10000000149011612,0.10000680387020111
4,14,blend,shear,0.08180634677410126,0.08188653737306595
4,14,blend,program,0x00000341,0x00000342
4,14,blend,seed,267663452,2791227076
4,15,wavefront,u,0.46365123987197876,0.46467843651771545
4,15,wavefront,v,0.21950262784957886,0.21886034309864044
4,15,wavefront,phase,0.29999998211860657,0.3000098764896393
4,15,wavefront,gain,0.10000000149011612,0.09999456256628036
4,15,wavefront,shear,-0.09917079657316208,-0.09909099340438843
4,15,wavefront,seed,263330380,2403866736
4,16,y_up,u,0.7231432199478149,0.7241631746292114
4,16,y_up,v,0.6880648136138916,0.6874207258224487
4,16,y_up,phase,0.3199999928474426,0.3200129270553589
4,16,y_up,gain,0.10000000149011612,0.09997972100973129
4,16,y_up,shear,0.06444459408521652,0.06452400237321854
4,16,y_up,seed,277875908,2761931329
4,17,crystal,u,0.19971948862075806,0.20074602961540222
4,17,crystal,v,0.5124179124832153,0.5117719173431396
4,17,crystal,phase,0.3400000035762787,0.34041494131088257
4,17,crystal,gain,0.10000000149011612,0.10001826286315918
4,17,crystal,shear,0.004131910391151905,0.004212470259517431
4,17,crystal,program,0x00000341,0x00000342
4,17,crystal,seed,282472148,2374573301
4,18,inverse_T,u,0.7190313339233398,0.7200528979301453
4,18,inverse_T,v,0.2820340394973755,0.2813897430896759
4,18,inverse_T,phase,0.35999998450279236,0.36001190543174744
4,18,inverse_T,gain,0.10000000149011612,0.09997853636741638
4,18,inverse_T,shear,-0.07053807377815247,-0.0704575628042221
4,18,inverse_T,seed,270289124,1339292425
4,19,T_transform,u,0.485346257686615,0.48637455701828003
4,19,T_transform,v,0.8169076442718506,0.8162652254104614
4,19,T_transform,phase,0.3799999952316284,0.37960055470466614
4,19,T_transform,gain,0.10000000149011612,0.10001980513334274
4,19,T_transform,shear,0.09989326447248459,0.09997373074293137
4,19,T_transform,program,0x00000341,0x00000342
4,19,T_transform,seed,274361076,1724210621
4,20,jitter,u,0.29159054160118103,0.2926137447357178
4,20,jitter,v,0.250256210565567,0.2496141493320465
4,20,jitter,phase,0.3999999761581421,0.39999791979789734
4,20,jitter,gain,0.10000000149011612,0.09998614341020584
4,20,jitter,shear,-0.07677831500768661,-0.07669807970523834
4,20,jitter,seed,296322444,3233192479
4,21,bst,u,0.8301432728767395,0.8311730623245239
4,21,bst,v,0.544420063495636,0.5437765121459961
4,21,bst,phase,0.41999998688697815,0.4199935793876648
4,21,bst,gain,0.10000000149011612,0.10001122206449509
4,21,bst,shear,0.01333463191986084,0.013414775021374226
4,21,bst,seed,300918684,3919592619
4,22,return,u,0.2202703356742859,0.2212950438261032
4,22,return,v,0.6946288347244263,0.6939833164215088
4,22,return,phase,0.4399999976158142,0.43999335169792175
4,22,return,gain,0.10000000149011612,0.09999023377895355
4,22,return,shear,0.05711323022842407,0.05719342455267906
4,22,return,seed,287687084,737860439
4,23,phase_history,u,0.5764381289482117,0.5774692296981812
4,23,phase_history,v,0.1602242887020111,0.1595781147480011
4,23,phase_history,phase,0.4599999785423279,0.45960167050361633
4,23,phase_history,gain,0.10000000149011612,0.10001591593027115
4,23,phase_history,shear,-0.09756167978048325,-0.09748147428035736
4,23,phase_history,program,0x00000341,0x00000342
4,23,phase_history,seed,291759036,49053155
4,24,dichromatic,u,0.676798939704895,0.6778249740600586
4,24,dichromatic,v,0.8085348606109619,0.807889997959137
4,24,dichromatic,phase,0.47999998927116394,0.4796069264411926
4,24,dichromatic,gain,0.10000000149011612,0.09997468441724777
4,24,dichromatic,shear,0.08676449209451675,0.08684437721967697
4,24,dichromatic,program,0x00000341,0x00000342
4,24,dichromatic,seed,312548420,4293674241
4,25,bayer,u,0.15437698364257812,0.15540912747383118
4,25,bayer,v,0.3897383213043213,0.38909637928009033
4,25,bayer,phase,0.5,0.4995996952056885
4,25,bayer,gain,0.10000000149011612,0.10002140700817108
4,25,bayer,shear,-0.030393127351999283,-0.030312076210975647
4,25,bayer,program,0x00000341,0x00000342
4,25,bayer,seed,317144660,3606766517
4,26,bc5,u,0.8357278108596802,0.8367546796798706
4,26,bc5,v,0.3448837101459503,0.34424063563346863
4,26,bc5,phase,0.5199999809265137,0.5208140015602112
4,26,bc5,gain,0.10000000149011612,0.09997186809778214
4,26,bc5,shear,-0.04194259271025658,-0.04186161980032921
4,26,bc5,seed,304961636,346031177
4,27,split,u,0.35455530881881714,0.3555881381034851
4,27,split,v,0.8475360870361328,0.8468909859657288
4,27,split,phase,0.5399999618530273,0.5403994917869568
4,27,split,gain,0.10000000149011612,0.10002350062131882
4,27,split,shear,0.09224746376276016,0.09232828766107559
4,27,split,program,0x00000341,0x00000342
4,27,split,seed,309033588,1035379453
4,28,parity,u,0.3701914846897125,0.371219277381897
4,28,parity,v,0.13910314440727234,0.13845694065093994
4,28,parity,phase,0.5600000023841858,0.5591881275177002
4,28,parity,gain,0.10000000149011612,0.09998050332069397
4,28,parity,shear,-0.09409824013710022,-0.09401748329401016
4,28,parity,seed,333092669,1009439802
4,29,psi,u,0.845403790473938,0.846436619758606
4,29,psi,v,0.6815330982208252,0.680887758731842
4,29,psi,phase,0.5799999833106995,0.5804063081741333
4,29,psi,gain,0.10000000149011612,0.10002409666776657
4,29,psi,shear,0.04652278497815132,0.04660341516137123
4,29,psi,program,0x00000341,0x00000342
4,29,psi,seed,320385359,499129308
4,30,mutation,u,0.11634424328804016,0.11737292259931564
4,30,mutation,v,0.6011317372322083,0.6004884243011475
4,30,mutation,phase,0.5999999642372131,0.5999953746795654
4,30,mutation,gain,0.10000000149011612,0.09998288750648499
4,30,mutation,shear,0.0254893247038126,0.025569763034582138
4,30,mutation,seed,324457245,3613824370
8,0,klein,u,0.5518231391906738,0.5528426766395569
8,0,klein,v,0.4993538558483124,0.49871182441711426
8,0,klein,phase,-0.00039881773409433663,3.213659510947764e-06
8,0,klein,gain,0.10000769793987274,0.09999775886535645
8,0,klein,shear,8.044181595323607e-05,0.00016039717593230307
8,0,klein,program,0x00000342,0x00000341
8,0,klein,seed,2338824570,2353597402
8,1,hadamard,u,0.43614262342453003,0.4371648132801056
8,1,hadamard,v,0.5587904453277588,0.5581473112106323
8,1,hadamard,phase,0.01999625377357006,0.020002393051981926
8,1,hadamard,gain,0.09998840093612671,0.10000614821910858
8,1,hadamard,shear,0.06762948632240295,0.06770949065685272
8,1,hadamard,seed,4239472451,1917572160
8,2,phi,u,0.5109547972679138,0.5119760036468506
8,2,phi,v,0.38619983196258545,0.3855547606945038
8,2,phi,phase,0.03959432989358902,0.039589960128068924
8,2,phi,gain,0.10001034289598465,0.10000003129243851
8,2,phi,shear,-0.0995367020368576,-0.09945683181285858
8,2,phi,seed,907524589,1652879743
8,3,rk4,u,0.5828014016151428,0.5838250517845154
8,3,rk4,v,0.6060214042663574,0.6053752303123474
8,3,rk4,phase,0.05960538983345032,0.059598978608846664
8,3,rk4,gain,0.0999893769621849,0.099997878074646
8,3,rk4,shear,0.07944020628929138,0.07952015101909637
8,3,rk4,seed,402486795,169969697
8,4,phyllotaxis,u,0.3509548306465149,0.3519783020019531
8,4,phyllotaxis,v,0.4728115499019623,0.4721662402153015
8,4,phyllotaxis,phase,0.07960005104541779,0.08041180670261383
8,4,phyllotaxis,gain,0.10001123696565628,0.10000831633806229
8,4,phyllotaxis,shear,-0.017338082194328308,-0.017258265987038612
8,4,phyllotaxis,seed,292233757,3126892108
8,5,pinion,u,0.6431863307952881,0.6442112922668457
8,5,pinion,v,0.4089243412017822,0.40828102827072144
8,5,pinion,phase,0.09919159859418869,0.09920056909322739
8,5,pinion,gain,0.09998246282339096,0.09999098628759384
8,5,pinion,shear,-0.05359271913766861,-0.053512975573539734
8,5,pinion,seed,2560104221,1580152411
8,6,double_dot,u,0.45347702503204346,0.4545023739337921
8,6,double_dot,v,0.6762363910675049,0.6755943298339844
8,6,double_dot,phase,0.12000322341918945,0.12001115828752518
8,6,double_dot,gain,0.10001032799482346,0.1000010296702385
8,6,double_dot,shear,0.09665156155824661,0.09673120081424713
8,6,double_dot,seed,1379834291,1323307876
8,7,T_shape,u,0.4103456735610962,0.41137176752090454
8,7,T_shape,v,0.3247513175010681,0.32410871982574463
8,7,T_shape,phase,0.1400080919265747,0.1404181718826294
8,7,T_shape,gain,0.099993996322155,0.10001181066036224
8,7,T_shape,shear,-0.08866483718156815,-0.08858509361743927
8,7,T_shape,program,0x00000341,0x00000342
8,7,T_shape,seed,1943295573,642083386
8,8,pyramid,u,0.697772204875946,0.698799192905426
8,8,pyramid,v,0.5712073445320129,0.5705628395080566
8,8,pyramid,phase,0.1595969796180725,0.1592063456773758
8,8,pyramid,gain,0.10000208765268326,0.09998807311058044
8,8,pyramid,shear,0.03438376635313034,0.03446340933442116
8,8,pyramid,program,0x00000342,0x00000341
8,8,pyramid,seed,2115143887,1469354917
8,9,circle,u,0.2963498532772064,0.29737693071365356
8,9,circle,v,0.583846390247345,0.5832007527351379
8,9,circle,phase,0.18040823936462402,0.1800159066915512
8,9,circle,gain,0.09999525547027588,0.10001005232334137
8,9,circle,shear,0.03823663666844368,0.03831739351153374
8,9,circle,program,0x00000342,0x00000341
8,9,circle,seed,2814560259,3070423536
8,10,cone,u,0.5996976494789124,0.6007257699966431
8,10,cone,v,0.28850480914115906,0.28786101937294006
8,10,cone,phase,0.20040425658226013,0.2004205584526062
8,10,cone,gain,0.10000771284103394,0.09999517351388931
8,10,cone,shear,-0.09049263596534729,-0.0904119536280632
8,10,cone,seed,1835288237,2815284431
8,11,sphere,u,0.5739449858665466,0.574972927570343
8,11,sphere,v,0.7318155169487,0.7311733961105347
8,11,sphere,phase,0.22040773928165436,0.2204296886920929
8,11,sphere,gain,0.099986232817173,0.09999675303697586
8,11,sphere,shear,0.09549712389707565,0.0955776497721672
8,11,sphere,seed,1284409675,3479743889
8,12,apex,u,0.2812651991844177,0.28229421377182007
8,12,apex,v,0.37199708819389343,0.3713548183441162
8,12,apex,phase,0.24040226638317108,0.24040567874908447
8,12,apex,gain,0.10001242160797119,0.10001405328512192
8,12,apex,shear,-0.050059862434864044,-0.04997948557138443
8,12,apex,seed,1293090700,3974193870
8,13,delta_phi,u,0.7588396072387695,0.759868323802948
8,13,delta_phi,v,0.44267740845680237,0.4420333802700043
8,13,delta_phi,phase,0.2604030668735504,0.26122552156448364
8,13,delta_phi,gain,0.09999103099107742,0.09998776763677597
8,13,delta_phi,shear,-0.02139168791472912,-0.021311454474925995
8,13,delta_phi,seed,1678006584,3030938843
8,14,blend,u,0.3436940014362335,0.34472373127937317
8,14,blend,v,0.723152756690979,0.7225068807601929
8,14,blend,phase,0.280408650636673,0.28001296520233154
8,14,blend,gain,0.10000680387020111,0.10000286996364594
8,14,blend,shear,0.08188653737306595,0.08196663856506348
8,14,blend,program,0x00000342,0x00000341
8,14,blend,seed,2791227076,2492153519
8,15,wavefront,u,0.46467843651771545,0.46569663286209106
8,15,wavefront,v,0.21886034309864044,0.21821436285972595
8,15,wavefront,phase,0.3000098764896393,0.29920801520347595
8,15,wavefront,gain,0.09999456256628036,0.09998010843992233
8,15,wavefront,shear,-0.09909099340438843,-0.09901190549135208
8,15,wavefront,seed,2403866736,3435276474
8,16,y_up,u,0.7241631746292114,0.7251873016357422
8,16,y_up,v,0.6874207258224487,0.686776340007782
8,16,y_up,phase,0.3200129270553589,0.31961798667907715
8,16,y_up,gain,0.09997972100973129,0.09999167919158936
8,16,y_up,shear,0.06452400237321854,0.06460300832986832
8,16,y_up,program,0x00000341,0x00000342
8,16,y_up,seed,2761931329,1034182060
8,17,crystal,u,0.20074602961540222,0.20176488161087036
8,17,crystal,v,0.5117719173431396,0.5111298561096191
8,17,crystal,phase,0.34041494131088257,0.3404209315776825
8,17,crystal,gain,0.10001826286315918,0.10000643879175186
8,17,crystal,shear,0.004212470259517431,0.004292547237128019
8,17,crystal,seed,2374573301,1710050233
8,18,inverse_T,u,0.7200528979301453,0.7210790514945984
8,18,inverse_T,v,0.2813897430896759,0.2807462215423584
8,18,inverse_T,phase,0.36001190543174744,0.35961174964904785
8,18,inverse_T,gain,0.09997853636741638,0.0999920442700386
8,18,inverse_T,shear,-0.0704575628042221,-0.0703774094581604
8,18,inverse_T,program,0x00000341,0x00000342
8,18,inverse_T,seed,1339292425,1171128781
8,19,T_transform,u,0.48637455701828003,0.4873952865600586
8,19,T_transform,v,0.8162652254104614,0.8156198263168335
8,19,T_transform,phase,0.37960055470466614,0.3796114921569824
8,19,T_transform,gain,0.10001980513334274,0.10000085085630417
8,19,T_transform,shear,0.09997373074293137,0.10005372017621994
8,19,T_transform,seed,1724210621,495392728
8,20,jitter,u,0.2926137447357178,0.29364150762557983
8,20,jitter,v,0.2496141493320465,0.24896802008152008
8,20,jitter,phase,0.39999791979789734,0.3999960422515869
8,20,jitter,gain,0.09998614341020584,0.1000104770064354
8,20,jitter,shear,-0.07669807970523834,-0.07661795616149902
8,20,jitter,seed,3233192479,297844663
8,21,bst,u,0.8311730623245239,0.8321953415870667
8,21,bst,v,0.5437765121459961,0.5431316494941711
8,21,bst,phase,0.4199935793876648,0.41919103264808655
8,21,bst,gain,0.10001122206449509,0.0999915823340416
8,21,bst,shear,0.013414775021374226,0.013494654558598995
8,21,bst,seed,3919592619,1233758626
8,22,return,u,0.2212950438261032,0.2223241925239563
8,22,return,v,0.6939833164215088,0.6933404207229614
8,22,return,phase,0.43999335169792175,0.4395969808101654
8,22,return,gain,0.09999023377895355,0.10001173615455627
8,22,return,shear,0.05719342455267906,0.05727327987551689
8,22,return,program,0x00000341,0x00000342
8,22,return,seed,737860439,1772807126
8,23,phase_history,u,0.5774692296981812,0.5784928798675537
8,23,phase_history,v,0.1595781147480011,0.15893612802028656
8,23,phase_history,phase,0.45960167050361633,0.4600299894809723
8,23,phase_history,gain,0.10001591593027115,0.09999021887779236
8,23,phase_history,shear,-0.09748147428035736,-0.0974016934633255
8,23,phase_history,program,0x00000342,0x00000341
8,23,phase_history,seed,49053155,837023171
8,24,dichromatic,u,0.6778249740600586,0.6788553595542908
8,24,dichromatic,v,0.807889997959137,0.8072470426559448
8,24,dichromatic,phase,0.4796069264411926,0.4792170524597168
8,24,dichromatic,gain,0.09997468441724777,0.09999236464500427
8,24,dichromatic,shear,0.08684437721967697,0.08692408353090286
8,24,dichromatic,program,0x00000342,0x00000341
8,24,dichromatic,seed,4293674241,4176312348
8,25,bayer,u,0.15540912747383118,0.15643367171287537
8,25,bayer,v,0.38909637928009033,0.3884502053260803
8,25,bayer,phase,0.4995996952056885,0.49960288405418396
8,25,bayer,gain,0.10002140700817108,0.10000745952129364
8,25,bayer,shear,-0.030312076210975647,-0.030231313779950142
8,25,bayer,seed,3606766517,2695130633
8,26,bc5,u,0.8367546796798706,0.837786078453064
8,26,bc5,v,0.34424063563346863,0.3435952961444855
8,26,bc5,phase,0.5208140015602112,0.5208210945129395
8,26,bc5,gain,0.09997186809778214,0.09998263418674469
8,26,bc5,shear,-0.04186161980032921,-0.04178076982498169
8,26,bc5,seed,346031177,2156340349
8,27,split,u,0.3555881381034851,0.3566133677959442
8,27,split,v,0.8468909859657288,0.8462476134300232
8,27,split,phase,0.5403994917869568,0.5408164262771606
8,27,split,gain,0.10002350062131882,0.10001231729984283
8,27,split,shear,0.09232828766107559,0.09240897744894028
8,27,split,program,0x00000342,0x00000341
8,27,split,seed,1035379453,3637391976
8,28,parity,u,0.371219277381897,0.3722515106201172
8,28,parity,v,0.13845694065093994,0.13781490921974182
8,28,parity,phase,0.5591881275177002,0.5587823390960693
8,28,parity,gain,0.09998050332069397,0.1000075489282608
8,28,parity,shear,-0.09401748329401016,-0.0939369723200798
8,28,parity,program,0x00000341,0x00000342
8,28,parity,seed,1009439802,4215799095
8,29,psi,u,0.846436619758606,0.8474625945091248
8,29,psi,v,0.680887758731842,0.6802451610565186
8,29,psi,phase,0.5804063081741333,0.5804183483123779
8,29,psi,gain,0.10002409666776657,0.10000082105398178
8,29,psi,shear,0.04660341516137123,0.04668379947543144
8,29,psi,seed,499129308,2481095785
8,30,mutation,u,0.11737292259931564,0.11839419603347778
8,30,mutation,v,0.6004884243011475,0.5998439192771912
8,30,mutation,phase,0.5999953746795654,0.5999977588653564
8,30,mutation,gain,0.09998288750648499,0.09999468922615051
8,30,mutation,shear,0.025569763034582138,0.025648998096585274
8,30,mutation,seed,3613824370,2200805718
12,0,klein,u,0.5528426766395569,0.5538631081581116
12,0,klein,v,0.49871182441711426,0.49806565046310425
12,0,klein,phase,3.213659510947764e-06,-3.4695694921538234e-06
12,0,klein,gain,0.09999775886535645,0.10001107305288315
12,0,klein,shear,0.00016039717593230307,0.00024009367916733027
12,0,klein,seed,2353597402,3700461621
12,1,hadamard,u,0.4371648132801056,0.4381830394268036
12,1,hadamard,v,0.5581473112106323,0.5575019717216492
12,1,hadamard,phase,0.020002393051981926,0.020002124831080437
12,1,hadamard,gain,0.10000614821910858,0.09999381005764008
12,1,hadamard,shear,0.06770949065685272,0.06778905540704727
12,1,hadamard,seed,1917572160,3597742900
12,2,phi,u,0.5119760036468506,0.5129979252815247
12,2,phi,v,0.3855547606945038,0.3849113881587982
12,2,phi,phase,0.039589960128068924,0.03879164531826973
12,2,phi,gain,0.10000003129243851,0.10001284629106522
12,2,phi,shear,-0.09945683181285858,-0.09937737137079239
12,2,phi,seed,1652879743,2576048862
12,3,rk4,u,0.5838250517845154,0.5848453640937805
12,3,rk4,v,0.6053752303123474,0.6047331690788269
12,3,rk4,phase,0.059598978608846664,0.05880418047308922
12,3,rk4,gain,0.099997878074646,0.09998191893100739
12,3,rk4,shear,0.07952015101909637,0.07959924638271332
12,3,rk4,seed,169969697,3007344532
12,4,phyllotaxis,u,0.3519783020019531,0.3530017137527466
12,4,phyllotaxis,v,0.4721662402153015,0.4715236723423004
12,4,phyllotaxis,phase,0.08041180670261383,0.08122845739126205
12,4,phyllotaxis,gain,0.10000831633806229,0.10002360492944717
12,4,phyllotaxis,shear,-0.017258265987038612,-0.017179200425744057
12,4,phyllotaxis,seed,3126892108,3958752401
12,5,pinion,u,0.6442112922668457,0.6452334523200989
12,5,pinion,v,0.40828102827072144,0.40763652324676514
12,5,pinion,phase,0.09920056909322739,0.10001584887504578
12,5,pinion,gain,0.09999098628759384,0.09996499866247177
12,5,pinion,shear,-0.053512975573539734,-0.053434133529663086
12,5,pinion,seed,1580152411,4212470452
12,6,double_dot,u,0.4545023739337921,0.45552703738212585
12,6,double_dot,v,0.6755943298339844,0.6749483346939087
12,6,double_dot,phase,0.12001115828752518,0.12041652947664261
12,6,double_dot,gain,0.1000010296702385,0.10002082586288452
12,6,double_dot,shear,0.09673120081424713,0.09680989384651184
12,6,double_dot,program,0x00000341,0x00000342
12,6,double_dot,seed,1323307876,3035587422
12,7,T_shape,u,0.41137176752090454,0.41239577531814575
12,7,T_shape,v,0.32410871982574463,0.32346290349960327
12,7,T_shape,phase,0.1404181718826294,0.14082545042037964
12,7,T_shape,gain,0.10001181066036224,0.10000524669885635
12,7,T_shape,shear,-0.08858509361743927,-0.08850643038749695
12,7,T_shape,program,0x00000342,0x00000341
12,7,T_shape,seed,642083386,2653187604
12,8,pyramid,u,0.698799192905426,0.6998249292373657
12,8,pyramid,v,0.5705628395080566,0.5699207186698914
12,8,pyramid,phase,0.1592063456773758,0.15881040692329407
12,8,pyramid,gain,0.09998807311058044,0.09999429434537888
12,8,pyramid,shear,0.03446340933442116,0.03454388305544853
12,8,pyramid,program,0x00000341,0x00000342
12,8,pyramid,seed,1469354917,365179605
12,9,circle,u,0.29737693071365356,0.298402339220047
12,9,circle,v,0.5832007527351379,0.5825585126876831
12,9,circle,phase,0.1800159066915512,0.1800229549407959
12,9,circle,gain,0.10001005232334137,0.10000358521938324
12,9,circle,shear,0.03831739351153374,0.03839772194623947
12,9,circle,seed,3070423536,3487791271
12,10,cone,u,0.6007257699966431,0.601752519607544
12,10,cone,v,0.28786101937294006,0.28721708059310913
12,10,cone,phase,0.2004205584526062,0.20042738318443298
12,10,cone,gain,0.09999517351388931,0.10000399500131607
12,10,cone,shear,-0.0904119536280632,-0.09033175557851791
12,10,cone,seed,2815284431,2149132621
12,11,sphere,u,0.574972927570343,0.5759991407394409
12,11,sphere,v,0.7311733961105347,0.7305276393890381
12,11,sphere,phase,0.2204296886920929,0.22002485394477844
12,11,sphere,gain,0.09999675303697586,0.09998319298028946
12,11,sphere,shear,0.0955776497721672,0.09565746784210205
12,11,sphere,program,0x00000342,0x00000341
12,11,sphere,seed,3479743889,2865898503
12,12,apex,u,0.28229421377182007,0.283321738243103
12,12,apex,v,0.3713548183441162,0.37070876359939575
12,12,apex,phase,0.24040567874908447,0.24040843546390533
12,12,apex,gain,0.10001405328512192,0.10002771764993668
12,12,apex,shear,-0.04997948557138443,-0.04989984259009361
12,12,apex,seed,3974193870,1446982317
12,13,delta_phi,u,0.759868323802948,0.7608950734138489
12,13,delta_phi,v,0.4420333802700043,0.44138890504837036
12,13,delta_phi,phase,0.26122552156448364,0.2612268626689911
12,13,delta_phi,gain,0.09998776763677597,0.09997860342264175
12,13,delta_phi,shear,-0.021311454474925995,-0.021232156082987785
12,13,delta_phi,seed,3030938843,83832910
12,14,blend,u,0.34472373127937317,0.34575197100639343
12,14,blend,v,0.7225068807601929,0.7218642830848694
12,14,blend,phase,0.28001296520233154,0.28002575039863586
12,14,blend,gain,0.10000286996364594,0.10001981258392334
12,14,blend,shear,0.08196663856506348,0.08204583078622818
12,14,blend,seed,2492153519,856583693
