lane,E,ES,S,P,maximum_packed_normalized_violation,maximum_authored_normalized_violation
0,7.5990891456604,2.4024194478988647,77.80333042144775,19.803330898284912,0.0005242783636512726,0.0005242783636512726
1,7.656315565109253,2.3296941816806793,78.04108619689941,19.648202657699585,0.0010959861106108724,0.0010959861106108724
2,7.61805534362793,2.347128242254257,77.7474308013916,19.93728280067444,0.00246189225193047,0.00246189225193047
3,7.583732604980469,2.4536436796188354,77.71609783172607,19.816184043884277,0.0026429024295726317,0.0026429024295726317
4,7.537800669670105,2.4439293146133423,77.80755043029785,19.76965308189392,0.0012918852005559239,0.0012918852005559239
5,7.673927545547485,2.3413869738578796,77.88557529449463,19.772921800613403,0.0010829000522146557,0.0010829000522146557
6,7.4781715869903564,2.5760746002197266,77.66145706176758,19.734363555908203,0.0038357846829764654,0.0038357846829764654
7,7.652345299720764,2.29918971657753,77.7907657623291,19.950687885284424,0.0034269918625571766,0.0034269918625571766
8,7.438285946846008,2.6080498099327087,77.71733283996582,19.65028405189514,0.0032764327829641355,0.0032764327829641355
9,7.793678641319275,2.1761170029640198,77.87616729736328,19.978114366531372,0.0021357704748652994,0.0021357704748652994
10,7.606809139251709,2.4042533338069916,77.50607967376709,20.09132146835327,0.0007822349716500655,0.0007822349716500655
11,7.6369136571884155,2.3997069895267487,77.98558712005615,19.59808111190796,0.002589470762372946,0.002589470762372946
12,7.606536149978638,2.398116886615753,77.6865005493164,19.923146963119507,0.000448277788257519,0.000448277788257519
13,7.534424662590027,2.4778084456920624,77.61769771575928,19.9080491065979,0.0008650113821254613,0.0008650113821254613
14,7.5000715255737305,2.5351303815841675,77.74779796600342,19.704084396362305,0.0024891507262048904,0.0024891507262048904
15,7.584660053253174,2.401823252439499,77.48215675354004,20.135061740875244,0.001099375767244916,0.001099375767244916
16,7.648213505744934,2.354111224412918,77.83764362335205,19.816750288009644,0.0004910442428966801,0.0004910442428966801
17,7.625898718833923,2.3696090281009674,77.96748161315918,19.677358865737915,0.0008342426754988554,0.0008342426754988554
18,7.548057436943054,2.4850718677043915,77.61730194091797,19.884601831436157,0.002342595597220384,0.002342595597220384
19,7.576430439949036,2.4374765157699585,78.02800178527832,19.537150859832764,0.0009833702694561795,0.0009833702694561795
20,7.5463855266571045,2.48819962143898,77.76267528533936,19.73679780960083,0.0024455392747082427,0.0024455392747082427
21,7.50407338142395,2.4598124623298645,77.69594669342041,19.879350662231445,0.0025536564778508137,0.0025536564778508137
22,7.514667510986328,2.533349096775055,77.63137340545654,19.81226086616516,0.003395286895764857,0.003395286895764857
23,7.650877237319946,2.357152998447418,77.82612800598145,19.82291579246521,0.0005678234165630198,0.0005678234165630198
24,7.504835724830627,2.4872805178165436,77.8902530670166,19.638458490371704,0.000923302892442045,0.000923302892442045
25,7.50821590423584,2.473738193511963,77.82538890838623,19.72338080406189,0.0012994945564948708,0.0012994945564948708
26,7.397612929344177,2.627027928829193,77.78526782989502,19.579429626464844,0.0017423717908646146,0.0017423717908646146
27,7.563146948814392,2.4356089532375336,77.94084548950195,19.633504152297974,0.0005749597525628191,0.0005749597525628191
28,7.528282999992371,2.463088482618332,78.04182052612305,19.509906768798828,0.0008553893151092071,0.0008553893151092071
29,7.704735994338989,2.277252823114395,77.91471004486084,19.831024408340454,0.0013271710168799404,0.0013271710168799404
30,7.5808727741241455,2.4010342359542847,77.78644561767578,19.8369300365448,0.0014093056663347927,0.0014093056663347927
31,7.4856555461883545,2.5188198685646057,77.39907264709473,20.08997678756714,0.00045433443361377925,0.00045433443361377925
32,7.621273994445801,2.3333220183849335,77.8445053100586,19.86286759376526,0.0032105467220294804,0.0032105467220294804
33,7.516456842422485,2.5221332907676697,77.77176856994629,19.68625545501709,0.0027287344865650678,0.0027287344865650678
34,7.504696249961853,2.4858202040195465,77.73167133331299,19.799623489379883,0.000988136527960194,0.000988136527960194
35,7.520230412483215,2.4391163885593414,77.93156147003174,19.667165279388428,0.0028746152659733996,0.0028746152659733996
36,7.712194323539734,2.278415262699127,78.0352258682251,19.70305562019348,0.0009639873752399917,0.0009639873752399917
37,7.691606879234314,2.253265082836151,77.88607597351074,19.906004667282104,0.0038981409453483335,0.0038981409453483335
38,7.5097304582595825,2.521415650844574,77.62651920318604,19.83968496322632,0.002202362495512512,0.002202362495512512
39,7.451796531677246,2.5746378302574158,77.55907535552979,19.857957363128662,0.0018691916580338948,0.0018691916580338948
40,7.4904972314834595,2.4887484312057495,77.96620845794678,19.568692445755005,0.0014675532651493301,0.0014675532651493301
41,7.575377821922302,2.4827860295772552,77.74681091308594,19.7373628616333,0.004112805381526444,0.004112805381526444
42,7.5626808404922485,2.4075330793857574,77.61318683624268,20.010881423950195,0.0021061939239227796,0.0021061939239227796
43,7.4379563331604,2.5820493698120117,77.64895915985107,19.765243530273438,0.0014146168234196472,0.0014146168234196472
44,7.753353118896484,2.2091835737228394,77.87712097167969,19.95041847229004,0.002649055869455222,0.002649055869455222
45,7.582500576972961,2.4096783995628357,77.70342826843262,19.90303635597229,0.0009320179233310955,0.0009320179233310955
46,7.625380158424377,2.35234797000885,78.08333396911621,19.589537382125854,0.0015748591414580662,0.0015748591414580662
47,7.624563574790955,2.382054477930069,77.88310527801514,19.74035143852234,0.0004679669957285841,0.0004679669957285841
48,7.774004340171814,2.208978086709976,77.92713642120361,19.885661602020264,0.0012572442932213001,0.0012572442932213001
49,7.572905421257019,2.4749232828617096,77.7102518081665,19.792704582214355,0.003382000101771797,0.003382000101771797
50,7.506949305534363,2.545943260192871,77.71114826202393,19.71751570701599,0.0037400691900082252,0.0037400691900082252
51,7.474274635314941,2.535649538040161,78.01237106323242,19.455288648605347,0.0007017450277063856,0.0007017450277063856
52,7.713562250137329,2.281377911567688,77.87577152252197,19.856882095336914,0.0008101107291575062,0.0008101107291575062
53,7.654711008071899,2.303449660539627,77.93485164642334,19.798742532730103,0.002958487494510079,0.002958487494510079
54,7.495371103286743,2.536998987197876,77.58036136627197,19.871336221694946,0.0022889110489296327,0.0022889110489296327
55,7.5841861963272095,2.446673661470413,77.78909206390381,19.754410982131958,0.002182121471515155,0.002182121471515155
56,7.618727087974548,2.4208790063858032,77.60874271392822,19.951918125152588,0.0028005737898518864,0.0028005737898518864
57,7.57519006729126,2.444930225610733,77.98871040344238,19.564673900604248,0.0014227195550458665,0.0014227195550458665
58,7.63417661190033,2.343823164701462,77.69361019134521,19.988727569580078,0.0015556507152492264,0.0015556507152492264
59,7.691498398780823,2.329760640859604,77.64027118682861,20.02448320388794,0.0015032411091259296,0.0015032411091259296
60,7.710196375846863,2.2989806532859802,77.86557674407959,19.838995933532715,0.0006489139530979799,0.0006489139530979799
61,7.6181769371032715,2.3860619962215424,78.18598747253418,19.436169862747192,0.0004745433255766417,0.0004745433255766417
62,7.7120184898376465,2.297046482563019,78.17813873291016,19.528610706329346,0.0006409903455779319,0.0006409903455779319
63,7.610403895378113,2.385484278202057,77.67261981964111,19.95231866836548,0.0006017586876263852,0.0006017586876263852
64,7.623534798622131,2.421232759952545,77.64859199523926,19.906941652297974,0.003165544424531973,0.003165544424531973
65,7.505203485488892,2.5035420060157776,77.66103267669678,19.837002754211426,0.0006183996347760926,0.0006183996347760926
66,7.527279257774353,2.457687258720398,77.9542064666748,19.607248306274414,0.0011051657137289544,0.0011051657137289544
67,7.698387503623962,2.299743890762329,78.13405990600586,19.579198360443115,0.0007506798965992032,0.0007506798965992032
68,7.654961943626404,2.3394788801670074,78.09222221374512,19.582486152648926,0.000819101062108205,0.000819101062108205
69,7.7343374490737915,2.259509265422821,77.66469478607178,20.089969635009766,0.000818318171870393,0.000818318171870393
70,7.511520981788635,2.4908441305160522,78.05349826812744,19.463080167770386,0.00042854207171311436,0.00042854207171311436
71,7.575430274009705,2.435762584209442,77.66600131988525,19.90166425704956,0.0007914545947618235,0.0007914545947618235
72,7.5861674547195435,2.375417798757553,77.90265560150146,19.757041931152344,0.002716332776390737,0.002716332776390737
73,7.643764615058899,2.368783950805664,77.7720832824707,19.860554933547974,0.000887317601699852,0.000887317601699852
74,7.625590562820435,2.4199648201465607,77.79870986938477,19.758546352386475,0.0032212520215512473,0.0032212520215512473
75,7.550569772720337,2.4280785024166107,77.76822090148926,19.82635498046875,0.0015097949440693735,0.0015097949440693735
